species,behav_cat,taxon_fr,family_fr,group_fr,name_fr,name_latin,taxon_eng,family_eng,group_eng,name_eng,name_spa
ADMIBO,behavShip,Activite humaine,Navire,Etat,"Bateau de l'Etat (douanes, marine)","Administrative boat (navy, custom, coast guard)",Human activity,Ship,Administrative vessel,"Administrative boat (navy, custom, coast guard)","Barco militar, guardacostas, adouana"
AQUABO,behavShip,Activite humaine,Navire,Aquaculture,Bateau aquaculture,Aquaculture vessel,Human activity,Ship,Aquaculture,Aquaculture vessel,
BOAT,behavShip,Activite humaine,Navire,Bateau non identifie,Bateau non identifie,Non identified ship,Human activity,Ship,Ship unidentif.,Non identified ship,Barco spp
BULKBO,behavShip,Activite humaine,Navire,Commerce,Bateau vraquier,Bulk cargo,Human activity,Ship,Transport,Bulk cargo,Barco vracier
BUOY,behavShip,Activite humaine,Bouee,Peche,Bouee de peche,"Fishing buoy, setnet",Human activity,Buoy,Fishing activity,"Fishing buoy, setnet",Boya pesca
CANOBO,behavShip,Activite humaine,Navire,Peche,Canot de peche artisanale,Small traditional fishing boat,Human activity,Ship,Fishing activity,Small traditional fishing boat,
CARGOB,behavShip,Activite humaine,Navire,Commerce,Bateau transport marchandise,"Merchant ship (containership, cargo, tanker)",Human activity,Ship,Transport,"Merchant ship (containership, cargo, tanker)",Barco comercial
CONTBO,behavShip,Activite humaine,Navire,Commerce,Bateau porte-container,Containership,Human activity,Ship,Transport,Containership,Barco porta contenedores
CRUIBO,behavShip,Activite humaine,Navire,Plaisance,Bateau de croisiere,Cruise ship,Human activity,Ship,Recreational boating,Cruise ship,
FAD,behavShip,Activite humaine,Bouee,Peche,Dispositif de Concentration de Poisson (DCP),Fishing Aggregating Device,Human activity,Buoy,Fishing activity,Fishing Aggregating Device,
FERRYB,behavShip,Activite humaine,Navire,Commerce,Ferry,Ferry,Human activity,Ship,Transport,Ferry,Ferry
FISHBO,behavShip,Activite humaine,Navire,Peche,Bateau de peche pro,Fishing boat (professional),Human activity,Ship,Fishing activity,Fishing boat (professional),Barco pesca
FISHFA,behavShip,Activite humaine,Autre activite,Service,Ferme aquacole,Fishing farm,Human activity,Other Activity,Service,Fishing farm,
FISHTR,behavShip,Activite humaine,Dechet,Dechet de peche,Dechet de peche,"Fishing trash (net part, buoy)",Human activity,Trash,Fish trash,"Fishing trash (net part, buoy)",Basura pesca
IRONTR,behavShip,Activite humaine,Dechet,Dechet autre,Dechet metal,Iron or Metal Trash,Human activity,Trash,Other trash,Iron or Metal trash,
LONGBO,behavShip,Activite humaine,Navire,Peche,Bateau palangrier,Longliner,Human activity,Ship,Fishing activity,Longliner,Barco palangrero
MINIBO,behavShip,Activite humaine,Navire,Commerce,Bateau minier,Mining boat,Human activity,Ship,Transport,Mining boat,
MOTOBO,behavShip,Activite humaine,Navire,Plaisance,Bateau a petit moteur,Small motor boat,Human activity,Ship,Recreational boating,Small motor boat,Barco petitmotor
NETBO,behavShip,Activite humaine,Navire,Peche,Bateau fileyeur,Gill-netter,Human activity,Ship,Fishing activity,Gill-netter,Barco enmalle
OIL,behavShip,Activite humaine,Dechet,Dechet autre,Dechet hydrocarbure (nappe),Oil slick,Human activity,Trash,Other trash,Oil slick,Contaminacion hidrocarburo
PASSBO,behavShip,Activite humaine,Navire,Peche,"Bateau art dormant (fileyeur, caseyeur)",Boat using for Passive fishing gear,Human activity,Ship,Fishing activity,Boat using for Passive fishing gear,
PATRAB,behavShip,Activite humaine,Navire,Peche,Bateau chalutboeuf,Pair trawler,Human activity,Ship,Fishing activity,Pair trawler,Barco baca arrastre
PIROG,behavShip,Activite humaine,Navire,Peche,Pirogue de peche,Pirogue,Human activity,Ship,Fishing activity,Pirogue,
PIRSPO,behavShip,Activite humaine,Navire,Plaisance,Pirogue sportive,Sport pirogue,Human activity,Ship,Recreational boating,Sport pirogue,
PLANE,behavShip,Activite humaine,Autre activite,Avion,Avion,Plane,Human activity,Other Activity,Plane,Plane,Avion
PLASTR,behavShip,Activite humaine,Dechet,Dechet autre,Dechet plastique,Plastic trash,Human activity,Trash,Other trash,Plastic trash,Basura plastico
PLATFO,behavShip,Activite humaine,Autre activite,Plateforme,Plateforme,Platform,Human activity,Other Activity,Platform,Platform,Plataforma
PLEABO,behavShip,Activite humaine,Navire,Plaisance,Bateau de plaisance ind.,Pleasure boat,Human activity,Ship,Recreational boating,Pleasure boat,Barco recreo
POLYTR,behavShip,Activite humaine,Dechet,Dechet autre,Dechet polystyrene,Dechet polystyrene,Human activity,Trash,Other trash,Polystyrene trash,
POTBO,behavShip,Activite humaine,Navire,Peche,Bateau caseyeur,Pot vessel,Human activity,Ship,Fishing activity,Pot vessel,Barco nasero
RESCUB,behavShip,Activite humaine,Navire,Etat,Bateau de secours,Search And Rescue vessel,Human activity,Ship,Administrative vessel,Search And Rescue vessel,Barco de Rescate
RESEBO,behavShip,Activite humaine,Navire,Service,Navire scientifique,Research vessel (science),Human activity,Ship,Service,Research vessel (science),Navio oceanografico
RUBBTR,behavShip,Activite humaine,Dechet,Dechet autre,Dechet caoutchouc,Rubber trash,Human activity,Trash,Other trash,Rubber trash,Basura goma
SAILBO,behavShip,Activite humaine,Navire,Plaisance,Bateau de plaisance a voile,Sailing boat,Human activity,Ship,Recreational boating,Sailing boat,Barco vela
SEINBO,behavShip,Activite humaine,Navire,Peche,"Bateau senneur, bolincheur",Seiner,Human activity,Ship,Fishing activity,Seiner,"Barco boliche, cerqueros"
SERVBO,behavShip,Activite humaine,Navire,Service,Bateau de maintenance,Service boat,Human activity,Ship,Service,service boat for wind farm,
SKBO,behavShip,Activite humaine,Navire,Peche,Bateau fileyeur SK,Gill-netter SK boat,Human activity,Ship,Fishing activity,Gill-netter SK boat,
SMALTR,behavShip,Activite humaine,Dechet,Dechet autre,Micro dechet,"Trash (plastic, wood, oil)",Human activity,Trash,Other trash,Macro litter,micro residuos
