code_esp,nom_latin,type,cat_group_size,groupe,Famille,List_sp,liste_especes_potentielles,potential_sp,group_pelgas,nom_commun,nom_anglais,nom_espagnol,phylum_public,classe_public,ordre_public,famille_public,taxon_fr,family_eng,group_eng,id_public,LB_NOM_taxref,NOM_VERN_taxref,NOM_VERN_ENG_taxref,CD_NOM_taxref,APHIA_ID_taxref,REGNE_taxref,PHYLUM_taxref,CLASSE_taxref,ORDRE_taxref,FAMILLE_taxref,R_Caraibes,R_Ocean_Indien,R_Polynesie,R_Sud_Pacifique,R_France_metropole,ASI,CODE_SCANS3,CODE_Bat,CODE_Samm,CODE_OI,CODE_PF,Group_old,kind_ident,nb_bases_remmoa,ex_code_et_corrections
"ACCNIS","Accipiter nisus","Land Bird",,"rapace","Accipitridae","Epervier d'Europe",,,,"Epervier d'Europe","European Sparrowhawk","Gavilan comun","Chordata","Aves","Falconiformes","Accipitridae","Oiseau terrestre","Accipitridae","Bird of prey",,"Accipiter nisus",,,,,,,,,,,,,,,,,,,,,,,,
"ACRPAL","Acrocephalus palustris","Land Bird",,"Passereau","Autre oiseau","Rousserolle verderolle",,,,"Rousserolle verderolle","Marsh warbler","Carricero poliglota","Chordata","Aves","Passeriformes","Sylviidae","Oiseau terrestre","Other bird","Passerine",3.0000000000000000e+00,"Acrocephalus palustris"," Rousserolle verderolle","Marsh Warbler",4.1920000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Sylviidae",,,,,"bat",,,,,"0",,"passereau","passereau",,
"ACRSCH","Acrocephalus schoenobaenus","Land Bird",,"Passereau","Autre oiseau","Phragmite des joncs",,,,"Phragmite des joncs","Sedge Warbler","Carricerin comun","Chordata","Aves","Passeriformes","Sylviidae","Oiseau terrestre","Other bird","Passerine",4.0000000000000000e+00,"Acrocephalus schoenobaenus"," Phragmite des joncs","Sedge Warbler",4.1870000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Sylviidae",,,,,"bat",,,,,"0",,"passereau","passereau",,
"ACRSCI","Acrocephalus scirpaceus","Land Bird",,"Passereau","Autre oiseau","Rousserolle effarvate",,,,"Rousserolle effarvate","Eurasian Reed Warbler","Carricero comun","Chordata","Aves","Passeriformes","Sylviidae","Oiseau terrestre","Other bird","Passerine",5.0000000000000000e+00,"Acrocephalus scirpaceus"," Rousserolle effarvatte","Eurasian Reed Warbler",4.1950000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Sylviidae",,,,,"bat",,,,,"0",,"passereau","passereau",,
"ACRSPP","Acrocephalus spp","Land Bird",,"Passereau","Autre oiseau","Rousserolle ind.",,,,"Rousserolle ind.","Warbler unidentif.","Carricero spp","Chordata","Aves","Passeriformes","Sylviidae","Oiseau terrestre","Other bird","Passerine",2.0000000000000000e+00,,,,,,,,,,,,,,,"bat",,,,,"0",,"passereau","passereau",,
"ACTHYP","Actitis hypoleucos","Land Bird",,"Limicole","Scolopacidae","Chevalier guignette",,,,"Chevalier guignette","Common sandpiper","Andarrios chico","Chordata","Aves","Charadriiformes","Scolopacidae","Oiseau terrestre","Scolopacidae","Shorebird",6.0000000000000000e+00,"Actitis hypoleucos"," Chevalier guignette",,2.6160000000000000e+03,,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae",,,,,"bat",,,,,"0",,"Limicole","Limicole",,
"ADMIBO","Administrative boat (navy, custom, coast guard)","Human activity",,"Etat","Ship","Bateau de l'etat (douanes, marine)",,,,"Bateau de l'Etat (douanes, marine)","Administrative boat (navy, custom, coast guard)","Barco militar, guardacostas, adouana","X",,,,"Activite humaine","Ship","Administrative vessel",,,,,,,,,,,,"Guy, Ant","R","R",,"Samm, bat","x",,,"BATADM","ADMIBO",,"Administrative vessel","Ship",,"BATADM / Samm ou BATMIL /  Bat"
"AEGCAU","Aegithalos caudatus","Land Bird",,"Passereau","Autre oiseau","Mesange a longue queue",,,,"Mesange a longue queue","Long-tailed Tit","Mito comun","Chordata","Aves","Passeriformes","Aegithalidae","Oiseau terrestre","Other bird","Passerine",,"Aegithalos caudatus","Mesange a longue queue","Long-tailed Tit",4.3420000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Aegithalidae",,,,,"bat",,,,,,,,,,
"AETNAR","Aetobatus narinari","Other Marine Wildlife",,"Raie","Elasmobranche","Raie leopard",,,,"Raie leopard","Spotted Eagle Ray",,"Chordata","Elasmobranchii","Rajiformes","Myliobatidae","Autre faune marine","Elasmobranch","Ray",7.0000000000000000e+00,"Aetobatus narinari",,,4.2317900000000000e+05,,"Animalia","Chordata","Elasmobranchii","Rajiformes","Myliobatidae",,,"R","R",,,,,,"0",,"Elasmobranch","Fish",1.6000000000000000e+01,
"ALAARV","Alauda arvensis","Land Bird",,"Passereau","Autre oiseau","Alouette des champs",,,,"Alouette des champs","Eurasian skylark","Alondra comun","Chordata","Aves","Passeriformes","Alaudidae","Oiseau terrestre","Other bird","Passerine",1.0000000000000000e+01,"Alauda arvensis"," Alouette des champs","Sky Lark",3.6760000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Alaudidae",,,,,"bat",,,,,"0",,"passereau","passereau",,
